year,qtr,cbsa,low,high
1999,2,16820,1.35,1.47
1999,2,16860,.51,1.02
1999,2,16940,1.25,1.35
1999,2,16980,.51,1.02
1999,2,17020,1.47,1.61
1999,2,17140,.51,1.02
1999,2,17300,1.47,1.61
1999,2,17420,1.02,1.14
1999,2,17460,.51,1.02
1999,2,17660,2.06,2.51
1999,2,17780,.51,1.02
1999,2,17820,1.47,1.61
1999,2,17860,1.02,1.14
1999,2,17900,1.14,1.25
1999,2,17980,1.02,1.14
1999,2,18020,.51,1.02
1999,2,18140,1.02,1.14
1999,2,18580,.51,1.02
1999,2,18700,1.25,1.35
1999,2,18880,1.79,2.06
1999,2,19060,1.02,1.14
1999,2,19100,.51,1.02
1999,2,19140,.51,1.02
1999,2,19180,.51,1.02
1999,2,19300,2.06,2.51
1999,2,19340,.51,1.02
1999,2,19380,.51,1.02
1999,2,19460,1.14,1.25
1999,2,19500,.51,1.02
1999,2,19660,1.79,2.06
1999,2,19740,1.14,1.25
1999,2,19780,.51,1.02
1999,2,19820,.51,1.02
1999,2,20020,1.02,1.14
1999,2,20100,1.47,1.61
1999,2,20220,.51,1.02
1999,2,20260,.51,1.02
1999,2,20500,.51,1.02
1999,2,20700,1.79,2.06
1999,2,20740,.51,1.02
1999,2,20940,1.14,1.25
1999,2,21060,1.25,1.35
1999,2,21140,.51,1.02
1999,2,21300,.51,1.02
1999,2,21340,1.02,1.14
1999,2,21500,.51,1.02
1999,2,21660,1.61,1.79
1999,2,21780,.51,1.02
1999,2,21820,1.25,1.35
1999,2,22020,.51,1.02
1999,2,22140,.51,1.02
1999,2,22180,1.79,2.06
1999,2,22220,.51,1.02
1999,2,22380,1.47,1.61
1999,2,22420,.51,1.02
1999,2,22500,.51,1.02
1999,2,22520,1.25,1.35
1999,2,22540,.51,1.02
1999,2,22660,1.61,1.79
1999,2,22900,.51,1.02
1999,2,23060,.51,1.02
1999,2,23420,1.25,1.35
1999,2,23460,.51,1.02
1999,2,23540,1.14,1.25
1999,2,23580,1.14,1.25
1999,2,23900,1.61,1.79
1999,2,24020,1.02,1.14
1999,2,24140,1.02,1.14
1999,2,24220,.51,1.02
1999,2,24260,.51,1.02
1999,2,24300,1.47,1.61
1999,2,24340,.51,1.02
1999,2,24420,1.79,2.06
1999,2,24500,1.35,1.47
1999,2,24540,1.35,1.47
1999,2,24580,.51,1.02
1999,2,24660,.51,1.02
1999,2,24780,1.02,1.14
1999,2,24860,1.02,1.14
1999,2,25060,1.02,1.14
1999,2,25180,1.25,1.35
1999,2,25220,1.61,1.79
1999,2,25260,1.25,1.35
1999,2,25420,.51,1.02
1999,2,25500,.51,1.02
1999,2,25540,.51,1.02
1999,2,25620,1.14,1.25
1999,2,25860,.51,1.02
1999,2,25940,2.06,2.51
1999,2,25980,2.51,
1999,2,26140,1.79,2.06
1999,2,26300,1.02,1.14
1999,2,26380,.51,1.02
1999,2,26420,.51,1.02
1999,2,26580,1.02,1.14
1999,2,26620,1.02,1.14
1999,2,26820,1.02,1.14
1999,2,26900,1.02,1.14
1999,2,26980,.51,1.02
1999,2,27060,.51,1.02
1999,2,27100,1.02,1.14
1999,2,27140,1.02,1.14
1999,2,27180,.51,1.02
1999,2,27260,1.25,1.35
1999,2,27340,2.06,2.51
1999,2,27500,.51,1.02
1999,2,27620,.51,1.02
1999,2,27740,1.25,1.35
1999,2,27780,.51,1.02
1999,2,27860,1.02,1.14
1999,2,27900,.51,1.02
1999,2,27980,1.79,2.06
1999,2,28020,.51,1.02
1999,2,28100,.51,1.02
1999,2,28140,.51,1.02
1999,2,28420,1.25,1.35
1999,2,28660,1.47,1.61
1999,2,28700,1.02,1.14
1999,2,28740,1.35,1.47
1999,2,28940,1.14,1.25
1999,2,29020,.51,1.02
1999,2,29100,.51,1.02
1999,2,29180,.51,1.02
1999,2,29200,1.02,1.14
1999,2,29340,.51,1.02
1999,2,29420,1.79,2.06
1999,2,29460,1.14,1.25
1999,2,29540,1.02,1.14
1999,2,29620,.51,1.02
1999,2,29700,1.02,1.14
1999,2,29740,1.47,1.61
1999,2,29820,1.35,1.47
1999,2,29940,1.02,1.14
1999,2,30020,1.25,1.35
1999,2,30140,1.35,1.47
1999,2,30300,.51,1.02
1999,2,30340,.51,1.02
1999,2,30460,.51,1.02
1999,2,30620,.51,1.02
1999,2,30700,.51,1.02
1999,2,30780,.51,1.02
1999,2,30860,1.35,1.47
1999,2,30980,.51,1.02
1999,2,31020,1.35,1.47
1999,2,31080,1.47,1.61
1999,2,31140,.51,1.02
1999,2,31180,.51,1.02
1999,2,31340,1.02,1.14
1999,2,31420,.51,1.02
1999,2,31460,1.61,1.79
1999,2,31540,.51,1.02
1999,2,31700,.51,1.02
1999,2,31740,1.02,1.14
1999,2,31860,.51,1.02
1999,2,31900,1.02,1.14
1999,2,32580,.51,1.02
1999,2,32780,1.61,1.79
